127.0.0.1 - - [21/Apr/2022:20:46:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/ HTTP/1.1" 200 9889
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/menu/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/menu/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/menu/js/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/menu/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/testlogo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:04 +0900] "GET /JspMiniProject/image/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:05 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:05 +0900] "GET /JspMiniProject/menu/images/plus-gray.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:06 +0900] "GET /JspMiniProject/index.jsp?main=login/loginform.jsp HTTP/1.1" 200 9439
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:07 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:10 +0900] "POST /JspMiniProject/login/loginaction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:10 +0900] "GET /JspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:10 +0900] "GET /JspMiniProject/image/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:10 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:14 +0900] "GET /JspMiniProject/index.jsp?main=shop2/shoplist.jsp HTTP/1.1" 200 27609
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:14 +0900] "GET /JspMiniProject/shopsave/111900032_01.png HTTP/1.1" 200 167123
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:14 +0900] "GET /JspMiniProject/shopsave/dsds.PNG HTTP/1.1" 200 343069
0:0:0:0:0:0:0:1 - - [21/Apr/2022:20:46:14 +0900] "GET /JspMiniProject/shopsave/v%ED%8C%8C%EC%9A%B4%EB%8D%B0%EC%9D%B4%EC%85%98.jpg HTTP/1.1" 200 61854
